[20-Jul-2017 21:50:42 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFPMoreStripe::gform_form_list_column_stripe() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[20-Jul-2017 21:52:01 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFReadyClassesAddon::render_editor_js() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[20-Jul-2017 21:52:01 UTC] PHP Strict Standards:  Non-static method GFAddonCommon::get_base_url() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-css-ready-selector/gf-readyclasses-addon.php on line 59
[20-Jul-2017 21:52:23 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFReadyClassesAddon::render_editor_js() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[20-Jul-2017 21:52:23 UTC] PHP Strict Standards:  Non-static method GFAddonCommon::get_base_url() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-css-ready-selector/gf-readyclasses-addon.php on line 59
[20-Jul-2017 23:11:17 UTC] PHP Notice:  Undefined index: live_secret_key in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-stripe/includes/class-gfp-stripe.php on line 2790
[20-Jul-2017 23:11:17 UTC] PHP Notice:  Undefined index: live_publishable_key in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-stripe/includes/class-gfp-stripe.php on line 2816
[20-Jul-2017 23:12:34 UTC] PHP Strict Standards:  call_user_func_array() expects parameter 1 to be a valid callback, non-static method GFReadyClassesAddon::render_editor_js() should not be called statically in /home/marcgrat/staging/2/wp-includes/class-wp-hook.php on line 298
[20-Jul-2017 23:12:34 UTC] PHP Strict Standards:  Non-static method GFAddonCommon::get_base_url() should not be called statically in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-css-ready-selector/gf-readyclasses-addon.php on line 59
[20-Jul-2017 23:19:55 UTC] PHP Notice:  Undefined index: live_secret_key in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-stripe/includes/class-gfp-stripe.php on line 2790
[20-Jul-2017 23:19:55 UTC] PHP Notice:  Undefined index: live_publishable_key in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-stripe/includes/class-gfp-stripe.php on line 2816
[20-Jul-2017 23:20:28 UTC] PHP Notice:  Undefined index: live_secret_key in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-stripe/includes/class-gfp-stripe.php on line 2790
[20-Jul-2017 23:20:28 UTC] PHP Notice:  Undefined index: live_publishable_key in /home/marcgrat/staging/2/wp-content/plugins/gravity-forms-stripe/includes/class-gfp-stripe.php on line 2816
